TEST_NR;NAME_KURZ_10;NAME_LANG;NAME_BEFUND_LANG;GUELTIG_AB;EINHEIT_NAME;NORMALWERT_VON;NORMALWERT_BIS;BEURTEILUNG;ARBEITSPLATZ_BEZ
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,56;3,84;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,56;3,84;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,4;5,3;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,71;3,68;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,4;3,79;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,4;3,79;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,44;3,45;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,44;3,45;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,44;3,45;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,4;5,3;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,35;5,82;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,35;5,82;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,62;8,11;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,62;8,11;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,46;4,03;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;1,09;13,02;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,49;3,99;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;1,09;13,02;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;1,09;13,02;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,49;3,99;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,4;3,79;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,49;3,99;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,46;3,71;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,46;4,03;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,46;4,03;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,45;4,02;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,46;3,71;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,46;3,71;;Chemie
98;D-DIMERE;D-Dimere;D-Dimere;07.02.2003;µg/ml;;0,5;;Gerinnung
98;D-DIMERE;D-Dimere;D-Dimere;07.02.2003;µg/ml;;0,8;;Gerinnung
98;D-DIMERE;D-Dimere;D-Dimere;07.02.2003;µg/ml;;0,5;;Gerinnung
98;D-DIMERE;D-Dimere;D-Dimere;07.02.2003;µg/ml;;0,6;;Gerinnung
98;D-DIMERE;D-Dimere;D-Dimere;07.02.2003;µg/ml;;0,7;;Gerinnung
99;EIW;Gesamteiweiß;Gesamteiweiß;07.02.2003;g/dl;4,8;7,6;;Chemie
99;EIW;Gesamteiweiß;Gesamteiweiß;07.02.2003;g/dl;6;8;;Chemie
99;EIW;Gesamteiweiß;Gesamteiweiß;07.02.2003;g/dl;4,6;6,8;;Chemie
99;EIW;Gesamteiweiß;Gesamteiweiß;07.02.2003;g/dl;6;8,3;;Chemie
100;CHE;CHE;CHE;07.02.2003;U/l;4620;11500;;Chemie
102;HSRE;Harnsäure;Harnsäure;07.02.2003;mg/dl;3,5;7,2;;Chemie
102;HSRE;Harnsäure;Harnsäure;07.02.2003;mg/dl;2;6;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;;130;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;;130;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;;130;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;;;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;59;137;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;62;130;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;;;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;68;136;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;64;133;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;63;129;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;68;140;;Chemie
103;LDL;LDL - Cholesterin;LDL - Cholesterin;07.02.2003;mg/dl;;;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;38;75;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;36;73;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;;;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;37;74;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;35;74;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;37;70;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;;;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;30;63;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;;60;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;;60;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;;60;;Chemie
104;HDL;HDL - Cholesterin;HDL - Cholesterin;07.02.2003;mg/dl;35;74;;Chemie
109;ATIII;Antithrombin III;Antithrombin III;07.02.2003;%;84;124;;Gerinnung
109;ATIII;Antithrombin III;Antithrombin III;07.02.2003;%;73;121;;Gerinnung
109;ATIII;Antithrombin III;Antithrombin III;07.02.2003;%;48;108;;Gerinnung
109;ATIII;Antithrombin III;Antithrombin III;07.02.2003;%;41;93;;Gerinnung
109;ATIII;Antithrombin III;Antithrombin III;07.02.2003;%;39;87;;Gerinnung
109;ATIII;Antithrombin III;Antithrombin III;07.02.2003;%;83;128;;Gerinnung
110;CL;Chlorid;Chlorid;07.02.2003;mmol/l;98;107;;Chemie
110;CL;Chlorid;Chlorid;07.02.2003;mmol/l;95;116;;Chemie
110;CL;Chlorid;Chlorid;07.02.2003;mmol/l;101;109;;Chemie
110;CL;Chlorid;Chlorid;07.02.2003;mmol/l;97;110;;Chemie
113;ALB-SU;Mikroalbumin im Urin;Albumin im Sammelurin;07.02.2003;mg/l;;20;;Chemie
114;ALB-SU;Albumin i.Urin;Albumin im Sammelurin;07.02.2003;mg/l;;20;;Proteine
115;ALB/M LI;Albumin i.Urin / min;Albumin i.Urin / min;07.02.2003;µg/min;;21;;Proteine
117;CA-U 24h;Calcium i. 24h Urin;Calcium i.U./ 24h;07.02.2003;mmol/24h;;6,2;;Quantitative Urinana
117;CA-U 24h;Calcium i. 24h Urin;Calcium i.U./ 24h;07.02.2003;mmol/24h;;;;Quantitative Urinana
117;CA-U 24h;Calcium i. 24h Urin;Calcium i.U./ 24h;07.02.2003;mmol/24h;;7,5;;Quantitative Urinana
118;NA-U 24h;Natrium i. 24h Urin;Natrium i.U./ 24h;07.02.2003;mmol/24h;130;260;;Quantitative Urinana
121;K-SU;Kalium i.Urin;Kalium im Sammelurin;07.02.2003;mmol/l;28;67;;Quantitative Urinana
122;K-U 24h;Kalium i.24h Urin;Kalium i.U./ 24h;07.02.2003;mmol/24h;40;100;;Quantitative Urinana
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;9,74;17,49;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;10,27;17,76;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;10,03;17,83;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;15,38;41,48;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;10,93;26,72;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;11,33;20,39;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;10,23;17,75;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;10,74;18,83;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;10,58;17,3;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;9;16;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;10,05;18,1;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;8,29;21,47;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;10,49;19,29;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;11,49;18,18;;Chemie
123;FT4;freies T4;freies T4;07.02.2003;pmol/l;11,2;18,43;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;3,48;7,13;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;4,29;7,23;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;3,41;7,32;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;2,85;6,75;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;2,94;7,1;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;3,15;6,95;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;2,52;8,3;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;3,3;6,1;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;3,32;7,76;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;2,72;7,25;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;3,25;6,85;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;3,52;7,23;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;2,92;6,78;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;3,93;7,19;;Chemie
124;FT3alt;freies T3;freies T3;07.02.2003;pmol/l;2,59;10,14;;Chemie
125;TZ;Thrombinzeit;Thrombinzeit;07.02.2003;sec;10;18;;Gerinnung
126;FIBR;Fibrinogen;Fibrinogen;07.02.2003;mg/dl;162;462;;Gerinnung
126;FIBR;Fibrinogen;Fibrinogen;07.02.2003;mg/dl;162;378;;Gerinnung
126;FIBR;Fibrinogen;Fibrinogen;07.02.2003;mg/dl;150;379;;Gerinnung
126;FIBR;Fibrinogen;Fibrinogen;07.02.2003;mg/dl;150;387;;Gerinnung
126;FIBR;Fibrinogen;Fibrinogen;07.02.2003;mg/dl;167;399;;Gerinnung
126;FIBR;Fibrinogen;Fibrinogen;07.02.2003;mg/dl;150;450;;Gerinnung
127;FAKV;Faktor V;Faktor V;07.02.2003;%;70;130;;Gerinnung Faktoren
127;FAKV;Faktor V;Faktor V;07.02.2003;%;58;146;;Gerinnung Faktoren
127;FAKV;Faktor V;Faktor V;07.02.2003;%;48;132;;Gerinnung Faktoren
127;FAKV;Faktor V;Faktor V;07.02.2003;%;62;134;;Gerinnung Faktoren
127;FAKV;Faktor V;Faktor V;07.02.2003;%;34;108;;Gerinnung Faktoren
127;FAKV;Faktor V;Faktor V;07.02.2003;%;45;145;;Gerinnung Faktoren
128;FOLSRE;Folsäure;Folsäure;07.02.2003;ng/ml;3,1;19,9;;Chemie
128;FOLSRE;Folsäure;Folsäure;07.02.2003;ng/ml;;;;Chemie
129;VIT.B12;Vitamin B12;Vitamin B12;07.02.2003;pg/ml;180;914;;Chemie
129;VIT.B12;Vitamin B12;Vitamin B12;07.02.2003;pg/ml;;;;Chemie
135;HVS;Homovanillinsäure;Homovanillinsäure im Sammelurin;07.02.2003;mg/l;;;;Toxikologie
136;TOXO_ISA;Toxoplasma IgM (ISAG;Toxoplasma IgM (ISAGA);07.02.2003;Titer;;;negativ;Infektserologie
137;YERS3_A;Yersinia enterocolit;Y. enterocolitica 3 (Aggl);07.02.2003;Titer;;;< 1: 200;Infektserologie
138;YERS9_A;Yersinia enterocolit;Y. enterocolitica 9 (Aggl);07.02.2003;Titer;;;< 1: 200;Infektserologie
139;YERSPS_A;Yersinia pseudotuber;Y. pseudotuberculosis (Aggl);07.02.2003;Titer;;;< 1: 200;Infektserologie
140;CLOZAPIN;Clozapin;Clozapin;07.02.2003;µg/ml;0,1;0,6;;Toxikologie
141;FE;Eisen;Eisen;07.02.2003;µg/dl;70;130;;Chemie
141;FE;Eisen;Eisen;07.02.2003;µg/dl;40;180;;Chemie
145;ALB;Albumin;Albumin;07.02.2003;%;55,8;66,1;;Elektrophorese
146;A1-G;alpha-1 Globulin;alpha-1 Globulin;07.02.2003;%;2,9;4,9;;Elektrophorese
147;A2-G;alpha-2 Globulin;alpha-2 Globulin;07.02.2003;%;7,1;11,8;;Elektrophorese
148;BETA-G;beta-Globulin;beta-Globulin;07.02.2003;%;8,1;12,7;;Elektrophorese
149;GAMMA-G;gamma-Globulin;gamma-Globulin;07.02.2003;%;11,1;18,8;;Elektrophorese
150;BSG;Blutsenkung;Blutsenkung;07.02.2003;mm;;12;;Hämatologie
151;NEUT;Neutrophile;Neutrophile;07.02.2003;%;40;74;;Hämatologie
152;LYMPH;Lymphozyten;Lymphozyten;07.02.2003;%;19;48;;Hämatologie
153;MONO;Monozyten;Monozyten;07.02.2003;%;3,4;9;;Hämatologie
154;EOS;Eosinophile Granuloz;Eosinophile;07.02.2003;%;;7;;Hämatologie
155;BASO;Basophile Granulozyt;Basophile;07.02.2003;%;;2;;Hämatologie
156;ANISO;Anisozytose;Anisozytose;07.02.2003;;;;;Hämatologie
157;MIKRO;Mikrozytose;Mikrozytose;07.02.2003;;;;;Hämatologie
158;MAKRO;Makrozytose;Makrozytose;07.02.2003;;;;;Hämatologie
159;ABS_RET;absolute Retikulozyt;Retikulozyten, Konz.;07.02.2003;/nl;18;158;;Hämatologie
160;RETI;Retikulozyten;Retikulozyten;07.02.2003;‰;6;25;;Hämatologie
161;AFP;AFP;AFP;07.02.2003;ng/ml;10000;80000;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;10;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;70000;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;180;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;22000;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;25;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;17;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;130;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;60;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;9;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;9;;Chemie
161;AFP;AFP;AFP;07.02.2003;ng/ml;;600;;Chemie
163;CARBAMAZ;Carbamazepin;Carbamazepin;07.02.2003;µg/ml;8;12;;Chemie
165;TG-AK;Thyreoglobulin-AK;Thyreoglobulin-AK;07.02.2003;U/ml;;33;;Infektserologie
166;TPO-AK;Thyreoidale-Peroxida;Thyreoidale-Peroxidase-AK;07.02.2003;U/ml;;60;;Infektserologie
167;TSH-R-AK;TSH-Rezeptor-AK;TSH-Rezeptor-AK;07.02.2003;IU/l;;1,8;;Infektserologie
168;CORTIS-S;Cortisol;Cortisol-Einzelanalyse;07.02.2003;µg/dl;3;21;;Chemie
168;CORTIS-S;Cortisol;Cortisol-Einzelanalyse;07.02.2003;µg/dl;2;11;;Chemie
168;CORTIS-S;Cortisol;Cortisol-Einzelanalyse;07.02.2003;µg/dl;7;23;;Chemie
169;B2_MIKRO;ß2-Mikroglobulin;ß2-Mikroglobulin alt;07.02.2003;mg/l;;2;;Tumormarker
170;IG-T1SES;monoklonaler Ig-Typ;monoklonaler Ig-Typ 1;07.02.2003;;;;;Elektrophorese
171;MONOK-1S;monoklonale Konzentr;monoklonale Konzentr.1;07.02.2003;mg/dl;;;;Elektrophorese
172;IG-T2SES;monoklonaler Ig-Typ;monoklonaler Ig-Typ 2;07.02.2003;;;;;Elektrophorese
173;MONOK-2S;monoklonale Konzentr;monoklonale Konzentr.2;07.02.2003;mg/dl;;;;Elektrophorese
174;IGA;IgA im Serum;IgA;07.02.2003;mg/dl;30;100;;Chemie
174;IGA;IgA im Serum;IgA;07.02.2003;mg/dl;70;400;;Chemie
174;IGA;IgA im Serum;IgA;07.02.2003;mg/dl;10;60;;Chemie
174;IGA;IgA im Serum;IgA;07.02.2003;mg/dl;30;200;;Chemie
174;IGA;IgA im Serum;IgA;07.02.2003;mg/dl;0;10;;Chemie
175;IGA_D;IgA_D;IgA_D;07.02.2003;mg/dl;70;400;;Chemie
176;IGA_R;IgA Ratio;IgA Ratio;07.02.2003;;0,7;1,3;;Chemie
177;IGM_D;IGM_D;IGM_D;07.02.2003;mg/dl;40;230;;Chemie
178;IGM_R;IgM Ratio;IgM Ratio;07.02.2003;;0,7;1,3;;Chemie
179;L_KA_SE;L-Kappa;Leichtketten-Kappa gesamt;07.02.2003;mg/dl;629;1350;;Proteine
180;L_LA_SE;L-Lambda;Leichtketten-Lambda gesamt;07.02.2003;mg/dl;313;723;;Proteine
181;K_L_S;Kappa/Lambda-Quotien;Kappa/Lambda-Quotient;07.02.2003;;1,53;3,29;;Proteine
182;RHF;Rheumafaktor;Rheumafaktor;07.02.2003;U/ml;;14;;Chemie
183;TRI;Triglyceride;Triglyceride;07.02.2003;mg/dl;50;200;;Chemie
183;TRI;Triglyceride;Triglyceride;07.02.2003;mg/dl;30;150;;Chemie
183;TRI;Triglyceride;Triglyceride;07.02.2003;mg/dl;11;280;;Chemie
183;TRI;Triglyceride;Triglyceride;07.02.2003;mg/dl;;150;;Chemie
184;VLDL;VLDL - Cholesterin;VLDL - Cholesterin;07.02.2003;mg/dl;;;;Chemie
184;VLDL;VLDL - Cholesterin;VLDL - Cholesterin;07.02.2003;mg/dl;;40;;Chemie
185;LDL/HDL;LDL/HDL;LDL/HDL;07.02.2003;;;3;;Chemie
185;LDL/HDL;LDL/HDL;LDL/HDL;07.02.2003;;;;;Chemie
186;HBA1;HbA1c;HbA1c;07.02.2003;%;4,2;6,3;;Chemie
188;BORRS_G;Borrelien-IgG;Borrelien IgG (EIA);07.02.2003;AU/ml;;10;;Infektserologie
189;BORRS_M;Borrelien-IgM;Borrelien IgM (EIA);07.02.2003;;;;negativ;Infektserologie
190;TPHA;Treponema (TPHA);Treponema (TPHA);07.02.2003;Titer;;;negativ;Infektserologie
192;CD-TRANS;CD-Transferrin;CD-Transferrin;07.02.2003;%;;2,6;;Toxikologie
193;TAD-S;TAD-S;Trizykl. Antidepressiva;07.02.2003;ng/ml;;;;Chemie
194;OPIAT;Opiate;Opiate;07.02.2003;ng/ml;;;;Toxikologie
195;PARACETA;Acetaminophen;Acetaminophen;07.02.2003;µg/ml;10;30;;Toxikologie
196;HAV_M;Anti-HAV-IgM;Anti-HAV IgM;07.02.2003;;;;negativ;Chemie
200;HOMOCYST;Homocystein;Homocystein;07.02.2003;µmol/l;;12;;Chemie
200;HOMOCYST;Homocystein;Homocystein;07.02.2003;µmol/l;;10;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;130;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;600;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;10000;80000;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;25;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;70000;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;22000;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;10;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;10;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;17;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;60;;Chemie
201;AFP_A;AFP;AFP alt;07.02.2003;ng/ml;;180;;Chemie
202;CEA_A;CEA;CEA alt;07.02.2003;ng/ml;;3;;Tumormarker
203;A_HBS;Anti-HBs;Anti-HBs;07.02.2003;mlU/ml;;;immun > 10;Chemie
205;BILI-D;Dir.Bili;Dir.Bilirubin;07.02.2003;mg/dl;;0,2;;Chemie
205;BILI-D;Dir.Bili;Dir.Bilirubin;07.02.2003;mg/dl;;0,2;;Chemie
206;BILI-I;Ind.Bili;Ind.Bilirubin;07.02.2003;mg/dl;;;;Chemie
207;VIT D25;25-Hydroxy-Vitamin D;25-Hydroxy-Vitamin D3;07.02.2003;ng/ml;;;;Chemie
207;VIT D25;25-Hydroxy-Vitamin D;25-Hydroxy-Vitamin D3;07.02.2003;ng/ml;30;100;;Chemie
208;VITD1.25;1.25 Dihydroxy Vitam;1.25 Dihydroxy Vitamin D3;07.02.2003;pg/ml;15,2;90,1;;Toxikologie
208;VITD1.25;1.25 Dihydroxy Vitam;1.25 Dihydroxy Vitamin D3;07.02.2003;pg/ml;;;;Toxikologie
209;GENTA;Gentamicin;Gentamicin;07.02.2003;µg/ml;;;< 1 (Talspiegel);Chemie
210;SEG;Segmentkernige Granu;Segmentkernige;07.02.2003;%;30;64;;Hämatologie
210;SEG;Segmentkernige Granu;Segmentkernige;07.02.2003;%;35;74;;Hämatologie
210;SEG;Segmentkernige Granu;Segmentkernige;07.02.2003;%;13;58;;Hämatologie
210;SEG;Segmentkernige Granu;Segmentkernige;07.02.2003;%;22;56;;Hämatologie
210;SEG;Segmentkernige Granu;Segmentkernige;07.02.2003;%;10;47;;Hämatologie
210;SEG;Segmentkernige Granu;Segmentkernige;07.02.2003;%;40;74;;Hämatologie
211;HB-S;freies Hb im Serum;freies Hb im Serum;07.02.2003;mg%;;40;;Toxikologie
212;ALC;Blutalkohol;Blutalkohol;07.02.2003;‰;;0,1;;Chemie
213;ALB-S;Albumin;Albumin;07.02.2003;g/dl;3,5;5,2;;Chemie
213;ALB-S;Albumin;Albumin;07.02.2003;g/dl;3,6;5,2;;Chemie
213;ALB-S;Albumin;Albumin;07.02.2003;g/dl;2,5;4,5;;Chemie
214;INF_A_K;Influenza A KBR;Influenza A (KBR);07.02.2003;Titer;;;< 1: 40;Infektserologie
215;INF_B_K;Influenza B KBR;Influenza B (KBR);07.02.2003;Titer;;;< 1: 40;Infektserologie
217;PARA1_K;Parainfluenza 1 KBR;Parainfluenza 1 KBR;07.02.2003;Titer;;;< 1: 40;Infektserologie
218;PARA2_K;Parainfluenza 2 KBR;Parainfluenza 2 KBR;07.02.2003;Titer;;;< 1: 40;Infektserologie
219;PARA3_K;Parainfluenza 3 KBR;Parainfluenza 3 KBR;07.02.2003;Titer;;;< 1: 40;Infektserologie
221;MYKOPL_K;Mykoplasma KBR;Mykoplasmen (KBR);07.02.2003;Titer;;;< 1: 40;Infektserologie
222;MYKOPL_A;Mykoplasma Agglut.;Mykoplasmen (Aggl);07.02.2003;Titer;;;< 1: 160;Infektserologie
224;MUV_G;Mumps IgG (CLIA);Mumps IgG (CLIA);07.02.2003;AU/ml;;;Immun > 11;Infektserologie
226;MUV_M;Mumps IgM (CLIA);Mumps IgM (CLIA);07.02.2003;;;;negativ;Infektserologie
227;PICO_K;Picorna-Entero-Viren;Picorna-Entero-Viren KBR;07.02.2003;Titer;;;< 1: 40;Infektserologie
228;MG;Magnesium;Magnesium;07.02.2003;mval/l;0,96;2,1;;Chemie
228;MG;Magnesium;Magnesium;07.02.2003;mval/l;1,5;2;;Chemie
228;MG;Magnesium;Magnesium;07.02.2003;mval/l;1,3;2;;Chemie
229;FSP;Fibrinogenspaltprodu;Fibrinogenspaltprodukte;07.02.2003;mg/l;;5;;Gerinnung
230;REP-N;Reptilase-N;Reptilase-Zeit;07.02.2003;sec;;23;;Gerinnung
231;THEO;Theophyllin;Theophyllin;07.02.2003;µg/ml;5;20;;Chemie
232;HCV_PCR;HCV-PCR;HCV-PCR;07.02.2003;;;;;Molekulargenetik
233;PL-EP-US;Plattenepithelien;Plattenepithelien;07.02.2003;/µl;;;;Urinstatus
234;RD-EP-US;Rundepithelien;Rundepithelien;07.02.2003;/µl;;;;Urinstatus
235;SCHL-US;Schleim;Schleim;07.02.2003;;;;;Urinstatus
236;URAT-US;Urate;Urate;07.02.2003;;;;;Urinstatus
237;CAOX-US;Calcium-Oxalate;Calcium-Oxalate;07.02.2003;;;;;Urinstatus
238;CACO-US;Calcium-Carbonate;Calcium-Carbonate;07.02.2003;;;;;Urinstatus
239;HS-US;Harnsäure;Harnsäure;07.02.2003;;;;;Quantitative Urinana
240;TRPH-US;Tripel-Phosphate;Tripel-Phosphate;07.02.2003;;;;;Urinstatus
241;SPROSSPI;Sproßpilze;Sproßpilze;07.02.2003;;;;;Urinstatus
242;HYAL-ZYL;Hyaline Zylinder;Hyaline Zylinder;07.02.2003;/µl;;;;Urinstatus
243;GRAN-ZYL;Granulierte Zylinder;Granulierte Zylinder;07.02.2003;/µl;;;;Urinstatus
244;PCT;Procalcitonin;Procalcitonin;07.02.2003;ng/ml;;0,5;;Infektserologie
245;LAMOTRIG;Lamotrigin;Lamotrigin;07.02.2003;µg/ml;3;14;;Toxikologie
247;HAPTOGL;Haptoglobin;Haptoglobin;07.02.2003;g/l;0,3;2;;Chemie
248;HSV_G;HSV-IgG (CLIA);HSV-IgG (CLIA);07.02.2003;;;;negativ;Infektserologie
257;PLASMA;Plasmazellen;Plasmazellen;07.02.2003;%;;;0;Hämatologie
258;META;Metamyelozyten;Metamyelozyten;07.02.2003;%;;;0;Hämatologie
259;STAB;Stabkernige Granuloz;Stabkernige;07.02.2003;%;;8;;Hämatologie
259;STAB;Stabkernige Granuloz;Stabkernige;07.02.2003;%;;6;;Hämatologie
259;STAB;Stabkernige Granuloz;Stabkernige;07.02.2003;%;;4;;Hämatologie
259;STAB;Stabkernige Granuloz;Stabkernige;07.02.2003;%;;12;;Hämatologie
260;COCA-M-GC;Benzoylecgonin;Cocain (Benzoylecgonin);07.02.2003;ng/ml;;;;Toxikologie
261;EOSD;Eosinophile Granuloz;Eosinophile;07.02.2003;%;;7;;Hämatologie
262;LEUDIA;Leukozyten im Dialys;Leukozyten im Dialysat;07.02.2003;/µl;;;;Hämatologie
263;B-HCG;ß-HCG sens.;HCG;07.02.2003;mIU/ml;;5;;Chemie
264;FTYP;FTYP;FTYP;07.02.2003;;;;;Chemie
266;FRAGMENT;quant. Fragmentozyte;quant. Fragmentozyten;07.02.2003;%;;0,1;;Hämatologie
267;FTYPN;FTYPN;FTYPN;07.02.2003;;;;;Chemie
268;TR_SAETT;Transferrinsättigung;Transferrinsättigung;07.02.2003;%;16;45;;Chemie
270;ACE;Angiotensin-I-Conver;Angiotensin-I-konv. Enzym;07.02.2003;U/l;13,3;63,9;;Toxikologie
270;ACE;Angiotensin-I-Conver;Angiotensin-I-konv. Enzym;07.02.2003;U/l;;;;Toxikologie
